name,street_address,price,cuisine,rating
Dinata,"313@Somerset, 313 Orchard Road #B3-42",Under $10,Portuguese,
Ding Ji - Bee Hwa Yun,Blk 177 Toa Payoh Central,Under $10,"Teochew, Chinese",
Ding Ji,"Blk 325, Clementi Avenue 5, #01-155",Under $10,Teochew,
Dippin&#39; Donut,"Vivo City, 1 Harbourfront Walk, #02-125",Under $10,American,4
District 10 Bar &amp; Restaurant,"Suntec City Mall, 3 Temasek Boulevard #01-514/515 (North Wing)",$21 - $30,European,4
District 10 Bar Tapas Restaurant,"The Star Vista, 1 Vista Exchange Green #01-42/K3",$21 - $30,European,3.5
District 10,"10 Winstedt Road, #01-17",$21 - $30,"French, Italian",4
Divine Chicken Pot,"Kopitime@PLQ Mall, 10 Paya Lebar Road, #04-11",Under $10,Sichuan,
Do.Main Bakery,226 Tanjong Katong Road,$11 - $20,,3.5
Doi Chaang Coffee,"Rochester Mall, 35 Rochester Drive #01-08",Under $10,Thai,
Doi Chaang Coffee,321 Clementi Avenue 3 #01-02,Under $10,Thai,
Dolce Tokyo,"Bugis Junction, 200 Victoria St #03-10H",$11 - $20,"Italian, Japanese, Fusion",
Dolce Tokyo,"313@Somerset, 313 Orchard Road #03-41",$11 - $20,"Italian, Japanese, Fusion",3.5
Dolce Vita,"Mandarin Oriental Singapore, 5 Raffles Avenue Level 5",$51 - $80,Italian,4.5
D&#244;me,"Bishan Community Club, Blk 51 Bishan St 13 #01-02",$21 - $30,American,3.5
D&#244;me,"Plaza Singapura, 68 Orchard Road #03-92",$21 - $30,American,3
D&#244;me,"Shaw House, 350 Orchard Road Level 4 (Isetan Scotts)",$21 - $30,,4
Domino&#39;s Pizza,Blk 111 Jalan Bukit Merah #01-1678,$11 - $20,Italian,4
Domino&#39;s Pizza,943/945 Upper Serangoon Road,$11 - $20,Italian,3
Domino&#39;s Pizza,Blk 166 Woodlands St 13 #02-525,$11 - $20,Italian,
Don Your Personal Pie Club,"Nex, 23 Serangoon Central #03-K18",Under $10,Singaporean,3.5
Dong Dae Mun,"Plaza Singapura, 68 Orchard Road #B2-42",Under $10,Korean,4
Dong Dong Hainanese Chicken Rice,"People&#39;s Park Complex Food Centre, 32 New Market Road #01-1110",Under $10,"Singaporean, Chinese",
Dong Ji Fried Kway Teow,"51 Old Airport Road Food Centre &amp; Shopping Mall, 51 Old Airport Road #01-138",Under $10,"Singaporean, Chinese",3.5
Donna Carmela,"Hillcrest Park, 2 Greenwood Ave",$21 - $30,Latin American/South American,3.5
Don&#39;s Pie &amp; Cake,"North Toa Payoh Food Centre II, 1008A Toa Payoh",$31 - $50,Chinese,
Doodle!,"Oasia Hotel, 8 Sinaran Drive",$11 - $20,Italian,
Doodle! &amp; Switch!,"Millenia Walk, 9 Raffles Boulevard #01-88/89",$11 - $20,Fusion,
Doong Ji Korean Restaurant,222 East Coast Road,$21 - $30,Korean,4
Dose,139 Tyrwhitt Road #01-03,$11 - $20,,
Doubleshots Cafe,"SouthBank, 883 North Bridge Road #01-10",Under $10,American,
Dove Desserts,"Kim Keat Palm Market &amp; Food Centre, Blk 22 Lorong 7 Toa Payoh #01-21",Under $10,,3.5
dr.CAFE COFFEE,"I12 Katong, 112 East Coast Road #01-02",Under $10,,
Dragon Bowl,"Aperia Mall, 12 Kallang Avenue #02-09",$21 - $30,Cantonese/Hong Kong,4
Dragon Phoenix Classic,"Novotel Singapore Clarke Quay, 177A River Valley Road Level 6",$31 - $50,Cantonese/Hong Kong,4
Drinks and Desserts Stall - Rasapura Masters,"Marina Bay Sands, 2 Bayfront Avenue #B2-50 (The Shoppes)",Under $10,,4
Drinks - Koufu,"Anchorpoint, 370 Alexandra Road #B1-20/21",Under $10,,4.5
Drinks - Koufu,"SMU Li Ka Shing Library, Blk 70 Stamford Road B1-26/28",Under $10,,
Drinks - Kuan Food Court,"120/122 Neil Road, Kuan Food Court",Under $10,,
Drinks Stall,"SK Coffee Shop, 56 New Upper Changi Road #01-1366",Under $10,,
Drinks Stall - Hup Choon Eating House,1 Binjai Park,Under $10,Singaporean,
Drury Lane,"JTC Summit, 8 Jurong Town Hall Road Level 2",$11 - $20,,
Drury Lane,94 Tanjong Pagar Road,$11 - $20,,3.5
D&#39;Star Bistro,"SUTD Building 1, 8 Somapah Road #01-102",$21 - $30,"Italian, Western Variety",
DSTLLRY,"Infinite Studios, 21 Media Circle #01-01",$11 - $20,Japanese,
Duck Rice. Fishball Noodle - HG631 Food House,"HG631 Food House, 631 Hougang Avenue 8 #01-08",Under $10,"Singaporean, Chinese",
Duckland,"PLQ Mall, 10 Paya Lebar Road, #B2-33",$21 - $30,Fusion,
Duke Bakery,"United Square, 101 Thomson Road #01-02/03",Under $10,,3.5
Duke Bakery,"Paya Lebar Square, 60 Paya Lebar Road #B1-28",Under $10,,
Dulu Kala The Peranakan Home,"Beauty World Centre, 144 Upper Bukit Timah Road #04-04",$11 - $20,Peranakan / Nonya,4
Dulukala at Island,"Tangs Plaza, 310 Orchard Road",$31 - $50,Peranakan / Nonya,
Dunkin&#39; Donuts,"Bugis Junction,  200 Victoria St #B1-K26",Under $10,American,
Dunkin&#39; Donuts,"ION Orchard, 2 Orchard Turn #B4-60",Under $10,American,4
DurianBB,"462 Crawford Lane, #01-65",Under $10,Singaporean,
Dutch Colony Coffee Co.,113 Frankel Avenue,Under $10,European,
"Dynasty F&amp;B (Seafood Restaurant, Curry Mixed Rice)",520 MacPherson Road,$11 - $20,Chinese,
E-Sarn,"Ridgewood Condominium, 5 Ridgewood Close Unit G2",Under $10,Thai,
E-Sarn,9 Thomson Ridge,Under $10,Thai,3
Each-A-Cup,"Concorde Hotel &amp; Shopping Mall, 100 Orchard Road (Juz Food Court)",Under $10,Taiwanese,
Each-A-Cup,"One Raffles Place, 1 Raffles Place #B1-03A",Under $10,Taiwanese,
Each-A-Cup,"Wilkie Edge, 8 Wilkie Road #01-06",Under $10,Taiwanese,
Each-A-Cup,"The Centrepoint, 176 Orchard Road #B1-14 (Cold Storage)",Under $10,Taiwanese,
Each-A-Cup - South Canteen,"Nanyang Polytechnic, 180 Ang Mo Kio Avenue 8 (Blk P)",Under $10,Taiwanese,3.5
Each-A-Cup,"Northpoint, 930 Yishun Ave 2 #B1-11/16",Under $10,Taiwanese,3.5
EagleWings Loft,"9 King Albert Park, #01-14/34, King Albert Park Residences Shopping Mall",$11 - $20,Multi-Cuisine,
Earle Swensen&#39;s,"VivoCity, 1 Harbourfront Walk #02-117",$11 - $20,American,3.5
East Coast Ngoh Hiang,245 Beach Road,Under $10,"Singaporean, Chinese",
East Manhattan,19 Lorong Kilat #01-03,$11 - $20,American,
Eastern Rice Dumpling,"Sembawang Shopping Centre, 604 Sembawang Road #B1-K4",Under $10,,
Eat At Taipei,"Chinatown Point, 133 New Bridge Road #01-43/44",$11 - $20,Taiwanese,3
Eat At Taipei,"JCube, 2 Jurong East Central 1 #03-03",$11 - $20,Taiwanese,3.5
Eat at Taipei,"Tampines Mall, 4 Tampines Central 5 #B1-02",$21 - $30,Taiwanese,
Eat at Taipei,"Tampines Mall, 4 Tampines Central 5 #B1-02",$21 - $30,Taiwanese,
EAT.,337 Bedok Road,Under $10,Singaporean,3
EAT.,"Jurong Point, 63 Jurong West Central 3 #01-76/77/78 (JP2)",Under $10,,3.5
EAT.,"The Rail Mall, 436 Upper Bukit Timah Road",Under $10,,3.5
EAT.,"Far East Plaza, 14 Scotts Road #01-23",Under $10,,3.5
EAT.,"Nex, 23 Serangoon Central #B1-59/60",Under $10,,4
EAT.,"Tiong Bahru Plaza, 302 Tiong Bahru Road #01-47",Under $10,Singaporean,
Eatzi Gourmet Bistro,"ITE College Central, 2 Ang Mo Kio Drive #01-01/02/03/04",$11 - $20,Fusion,3
Ebizo,"Gallery Hotel, 1 Nanson Road #02-01",$21 - $30,Japanese,
Economic Bee Hoon. Mixed Veg Rice. Porridge - 476 Food Loft,Blk 476 Tampines St 44 #01-205,Under $10,,4
Economic Rice - South Canteen,"Nanyang Polytechnic, 180 Ang Mo Kio Avenue 8 (Blk P)",Under $10,"Singaporean, Chinese",3.5
Economic Veg Rice . Porridge . Bee Hoon . Noodles - Kopitiam,"Rochor Centre, 1 Rochor Road",Under $10,Singaporean Chinese,3.5
Economical Rice - FoodPavilion,Blk 443 Clementi Avenue 3 #01-55,Under $10,"Singaporean, Chinese",
Economical Rice - Makan Place,"Ngee Ann Polytechnic, 535 Clementi Road Blk 51",Under $10,Singaporean Chinese,
Economy Bee Hoon,498 Jurong West Street 52,Under $10,"Singaporean, Chinese",
Ee Yuan,33 Dover Road #01-124,Under $10,,
Eeh! Eeh! Nak Lagi!!!,"Geylang Serai Market &amp; Food Centre, 1 Geylang Serai #02-120",Under $10,,
Eggs &amp; Berries,"Changi City Point, 5 Changi Business Park Central 1 #01-37/38",$11 - $20,American,3.5
Eggs &amp; Berries,"Westgate, 3 Gateway Drive #02-06",$11 - $20,American,3.5
Eggs &amp; Berries,"Tanglin Mall, 163 Tanglin Road #03-18",$11 - $20,American,
Eggs &#39;n Things,"Plaza Singapura,  68 Orchard Road, #03-79/83",$21 - $30,American,
Eight Treasures Vegetarian,282A South Bridge Road,$11 - $20,,4
Eighteen Chefs,"AMK Hub, 53 Ang Mo Kio Ave 3 #04-02",$11 - $20,Singaporean Western,3.5
Eighteen Chefs,"Bukit Panjang Plaza, 1 Jelebu Road #02-19",$11 - $20,Singaporean Western,
Eighteen Chefs,"Cathay Cineleisure Orchard, 8 Grange Road #04-02",$11 - $20,Singaporean Western,3.5
Eighteen Chefs,"Tiong Bahru Plaza, 302 Tiong Bahru Road #02-K1/K6",$11 - $20,Singaporean Western,3.5
El Patio Restaurant &amp; Wine Bar,"Holland Village, 34 Lorong Mambong",$21 - $30,"Latin American/South American, Mexican",4
El Rocho&#39;s,36 Circular Road,$11 - $20,"Latin American/South American, Mexican",
Ellenborough Market Cafe,"Swissotel Merchant Court Singapore, 20 Merchant Road",$31 - $50,"Peranakan / Nonya, Multi-Cuisine",3.5
Eminent Frog Porridge,323 Geylang Road,Under $10,Cantonese/Hong Kong,4
Empire State,"Causeway Point, 1 Woodlands Square #02-10/K10",$11 - $20,American,3.5
Empire State,"Greenwich V, 1 Seletar Road #02-04",$11 - $20,American,2.5
Encik Tan,"Waterway Point, 83 Punggol Central #B2-03",Under $10,Singaporean,
Eng Kee Chicken Wings,Blk 117 Commonwealth Drive #01-711,Under $10,,
Eng Kee - Sin Kee Heong,Blk 117 Commonwealth Crescent #01-711,Under $10,,
Eng Seng Restaurant,247/249 Joo Chiat Place,$21 - $30,Chinese,3
Eng&#39;s Noodles House,287 Tanjong Katong Road,Under $10,Cantonese/Hong Kong,4
Enoteca L&#39;Operetta,78/79 Boat Quay,$31 - $50,Italian,5
Entre Nous Creperie,27 Seah Street #01-01,$11 - $20,French,3.5
Erwin&#39;s Gastrobar,"Valley Point, 491 River Valley Road #01-21/22/23",$21 - $30,,
Escape Restaurant &amp; Lounge,"One Farrer Hotel, 1 Farrer Park Station Road",$31 - $50,"Singaporean, Multi-Cuisine",3.5
Eski Bar,"Circular Road, 46 Circular Road",$11 - $20,Russian,4
Eskimo,"Dhoby Xchange, 11 Orchard Road #B1-41",Under $10,Taiwanese,3.5
Everest Kitchen,518 MacPherson Road,$11 - $20,Indian,4.5
Everything with Fries,"Bugis Junction, 200 Victoria St #04-05",Under $10,,3.5
Everything with Fries,"Holland Village, 40 Lorong Mambong",Under $10,,3.5
Everything with Fries,"Orchard Central, 181 Orchard Road #01-24/25",$11 - $20,,3.5
Faber Bistro,"Faber Peak, 109 Mount Faber Road",$21 - $30,Multi-Cuisine,
Face to Face Noodle House,"City Square Mall, 180 Kitchener Road #02-23/24",Under $10,Malaysian,4.5
Famous BBQ Seafood,"Gardens By The Bay, 18 Marina Gardens Drive (Satay by the Bay)",Under $10,,
Famous Sungei Road Trishaw Laksa,"Hong Lim Market &amp; Food Centre, 531A Upper Cross Street, #02-66",Under $10,"Malay, Singaporean Chinese",4
Fantastic Handmade Noodles - Kopitiam,"Plaza Singapura, 68 Orchard Road #06-15/17",Under $10,"Singaporean, Chinese",3.5
fArt tArtz Cafe,1 Expo Drive #02-04,$11 - $20,,3.5
Fat Cow,"Camden Medical Center, 1 Orchard Boulevard #01-01/02",$81 - $150,Japanese,4
Fat Fish Steamboat,"Downtown East, 1 Pasir Ris Close #01-103/104 (E!hub)",$11 - $20,Thai,
Fatboy’s,187 Upper Thomson Road,$11 - $20,Multi-Cuisine,3.5
Fatboy&#39;s,465 Joo Chiat Road,$11 - $20,Multi-Cuisine,4
Fatboy&#39;s,122 Pasir Panjang Road,$11 - $20,Multi-Cuisine,3.5
Fatboy&#39;s,11 Kensington Park Road,$11 - $20,Multi-Cuisine,
Fatty Bom Bom,"494 Tampines Street 45, #01-66",Under $10,Western Variety,
Fatty Boss Restaurant &amp; Bar,68 Pagoda Street,$11 - $20,Singaporean Chinese,
Fatty Hoe Food Catering Services,"3G Coffee @ Shun Li, 61 Kaki Bukit Ave 1",$11 - $20,,
Fatty Weng Restaurant,37 Smith Street,$11 - $20,Cantonese/Hong Kong,
Feast @ East Buffet Restaurant,"Grand Mercure Singapore Roxy, 50 East Coast Road Level 3",$31 - $50,"Singaporean, Peranakan / Nonya",4
Fei Fei Wanton Noodle,18 Clementi Road,Under $10,Cantonese/Hong Kong,
Fei Zai Fried Kway Teow,"Blk 640, Bukit Batok Central, #01-40",Under $10,,
Feng Bo Zhuang,"Temple St, 57 Temple St",$11 - $20,Fusion,3
Feng Ji Shu Shi Char Kway Teow,"Beauty World Centre, 144 Upper Bukit Timah Road #04-45",Under $10,"Singaporean, Chinese",
Feng Ji Xiao Chi,"115 Bukit Merah View Market &amp; Food Centre, Blk 115 Bukit Merah View #01-08",Under $10,,
Fiesta,"Resorts World Sentosa, 8 Sentosa Gateway (Festive Hotel)",$21 - $30,Latin American/South American,4
Fika Swedish Caf&#233; &amp; Bistro,"Millenia Walk, 9 Raffles Boulevard #01-20",$21 - $30,Western Variety,3.5
Fika Swedish Caf&#233; &amp; Bistro,"OneKM Mall, 11 Tanjong Katong Road #02-K3",$21 - $30,Western Variety,
Fine Palate Caf&#233;,51 Waterloo St #01-04/05,$51 - $80,,3.5
First Culinary Restaurant,"ITE Ang Mo Kio, Blk A, 2 Ang Mo Kio Drive #01-09",$21 - $30,Cantonese/Hong Kong,3
First Love Patisserie,"ION Orchard, 2 Orchard Turn #B4-63",Under $10,Japanese,4
Fish &amp; Co.,"AMK Hub, 53 Ang Mo Kio Ave 3 #02-03",$11 - $20,,4
Fish &amp; Co.,"Bugis Junction, 200 Victoria St #01-90/91",$11 - $20,,3.5
Fish &amp; Co.,"Changi Airport Terminal 2, 60 Airport Boulevard #036-058 (Viewing Mall)",$11 - $20,Multi-Cuisine,
Fish &amp; Co.,"The Glass House, 9 Penang Road #01-24",$11 - $20,,3.5
Fish &amp; Co.,"Parkway Parade, 80 Marine Parade Road #01-18B",$11 - $20,,4
Fish &amp; Co.,"ION Orchard, 2 Orchard Turn #B3-20",$11 - $20,,3.5
Fish &amp; Co.,"Great World City, 1 Kim Seng Promenade, #01-22",$11 - $20,,4.5
Fish &amp; Co.,"Sembawang Shopping Centre, 604 Sembawang Road #01-02",$11 - $20,,4
Fish &amp; Co.,"Seletar Mall, 33 Sengkang West Avenue #03-22, #03-K4/K5",$11 - $20,,
Fish &amp; Co.,"VivoCity, 1 Harbourfront Walk #02-116",$11 - $20,,3.5
Fish Mart SAKURAYA,"Parkway Parade, 80 Marine Parade Road #B1-84D",Under $10,Japanese,4.5
Fish Maw Seafood,"Concorde Hotel &amp; Shopping Mall, 100 Orchard Road (Juz Food Court)",Under $10,,3.5
Fish Soup - Food Fare,"AMK Hub, 53 Ang Mo Kio Ave 3 #03-12",Under $10,,3.5
Fish Soup - Food Fare,"The Clementi Mall, 3155 Commonwealth Ave West #04-20/22",Under $10,,3.5
Fish Soup - Food Junction,"Junction 8 Shopping Centre, 9 Bishan Place #04-01",Under $10,,4.5
Fish Soup Fried Rice,"Holland Village Market &amp; Food Centre, 1 Lorong Mambong #01-23",Under $10,,
Fish Soup Ramen - Kopitiam,Blk 450 Clementi Ave 3,Under $10,,
Fish Soup,"Blk 75 Toa Payoh Lor 5 Food Centre, Blk 75 Toa Payoh Lorong 5 #01-07",Under $10,"Singaporean, Chinese",
Fish Tales,"*Scape, 2 Orchard Link #02-18B/27",$11 - $20,,3.5
Fishball / Minced Meat Noodle,Blk 205D Compassvale Lane,Under $10,"Singaporean, Chinese",
Fishball Noodle - Asian Food Mall,"Lucky Plaza, 304 Orchard Road",Under $10,,
Fishball Noodle - Best Bites,"Cin Tech I Science Park (Hong Yun Food Pte Ltd) , Blk 73 Science Park Drive #B1-07",Under $10,,
Fishball Noodle - Hock Sin,Blk 118 Commonwealth Crescent #01-29,Under $10,,
Fishball Noodle - Kopitiam,"NUH Main Building 1, 5 Lower Kent Ridge Road",Under $10,"Singaporean, Chinese",3
Fishball Noodle - Kopitiam,"Downtown East, Blk 1 Pasir Ris Close",Under $10,,
Fishball Noodle - Song Kee Eating House,Blk 215 Jurong East St 2 #01-541,Under $10,,
Fishball Noodles - Kopitiam,"JCube, 2 Jurong East Central 1 #B1-19",Under $10,"Singaporean, Chinese",
Fishball Story,77 Circuit Road,Under $10,Teochew,
Five &amp;2,"Punggol Park, 97 Hougang Avenue 8",$21 - $30,Fusion,
Five By Five,"Thomson V One, 9 Sin Ming Road #01-03",Under $10,,
Five &amp; Dime Eatery,297 River Valley Road,$11 - $20,American,3.5
Five Foot Way Cafe,"Techpoint Building, 10 Ang Mo Kio St 65",Under $10,,
Five Foot Way,"Tanglin Halt Market, 48A Tanglin Halt Road #01-25",Under $10,,
Five Oars Coffee Roasters,39 Tanjong Pagar Road,$31 - $50,Singaporean Western,
Five Square,"Great Eastern Centre, 1 Pickering St #01-03",$11 - $20,"Spanish, Multi-Cuisine",
Five Star Hainanese Chicken Rice,191 East Coast Road,$11 - $20,,3.5
Fix Cafe,"Home Team NS-JOM SPANS, 31 Ah Hood Rd #01-06",$11 - $20,,3.5
Flavour Flings,121 Hougang Ave 1,$11 - $20,"American, French",3
Flavour Flings,121 Hougang Ave 1,$11 - $20,French,3
Flee Away Cafe,70 Dunlop St,$11 - $20,,3.5
Flock Caf&#233;,78 Moh Guan Terrace #01-25,$11 - $20,"American, Singaporean Western",3.5
Flor Patisserie,"Takashimaya, 391 Orchard Road Basement 2",Under $10,"French, Japanese",3.5
Florence&#39;s Gourmet Foods &amp; Catering Services,101 Elias Road,$11 - $20,Fusion,
Fluff Bakery,12 Jalan Pisang,Under $10,,3.5
Flutes Restaurant Bar,"National Museum of Singapore, 93 Stamford Road #01-02",$51 - $80,Australian / New Zealand,4
Flyer Lounge,"Singapore Flyer, 30 Raffles Avenue #03-01",$11 - $20,,
FOC,"HongKong St, 40 HongKong St",$21 - $30,Spanish,4.5
Folks Collective,"China Square Central, 20 Cross St #01-25",$21 - $30,"Asian Variety, Thai",3.5
Follia Italian Restaurant,"Clover Park, 3 Clover Way",$21 - $30,Italian,4
Fong Seng Fast Food Nasi Lemak,22 Clementi Road,Under $10,Malay,
Foo House Gastrobar,"Picardy Garden, 6 Jalan Pari Burong",$11 - $20,,
Food For Thought,8 Queen St,$11 - $20,,4
Food For Thought,"Singapore Botanical Garden, 1 Cluny Road #B1 (Botany Centre)",$11 - $20,,3.5
Food Junction,3 Simei Street 6 #04-04 Eastpoint Mall,Under $10,,
Food Mapping,"Beauty World Centre, 144 Upper Bukit Timah Road #04-25",Under $10,,
Foodology Fresh,"The URA Centre, 45 Maxwell Road #01-02",$11 - $20,,
Foong Kee Coffee Shop,6 Keong Saik Road,Under $10,Cantonese/Hong Kong,3.5
Forbidden City,"Clarke Quay, 3A River Valley Road #01-02",$51 - $80,Fusion,4.5
Formosa Delights - Food Republic,"313 @ Somerset, 313 Orchard Road #05-01/02/03",Under $10,Chinese,
Fortune Fan Fishball Noodle - Berjaya Eating House,"Keat Hong Shopping Centre, Blk 253 Choa Chu Kang Avenue 1",Under $10,"Singaporean, Chinese",
Fortune Food,"I12 Katong, 112 East Coast Road #04-01",Under $10,Peranakan / Nonya,3.5
Fou Fafa Caf&#233;,"Capital Tower, 168 Robinson Road, #01-05",$11 - $20,Singaporean,
Founder Bak Kut Teh Restaurant,"Hotel Boss, 500 Jalan Sultan #01-09",$31 - $50,Chinese,
Four Leaves,"AMK Hub, 53 Ang Mo Kio Ave 3 #B2-14",Under $10,,3.5
Four Leaves,"Bugis Junction, 200 Victoria St #B1-14/15",Under $10,,4
Four Leaves,"Yew Tee Point, 21 Choa Chu Kang North 6 #B1-33/34",Under $10,,4.5
Four Leaves,"Liang Court, 177 River Valley Road #B1-50 (Meidi-Ya Supermarket)",Under $10,,4
Four Leaves,"The Star Vista, 1 Vista Exchange Green #B1-33",Under $10,,
Four Leaves,"IMM, 2 Jurong East St 21 #01-44",Under $10,,4
Four Leaves,"Parkway Parade, 80 Marine Parade Road #B1-80/81",Under $10,,4
Four Leaves,"White Sands, 1 Pasir Ris Central St 3 #B1-04",Under $10,,4
Four Leaves,"Nex, 23 Serangoon Central #B2-43",Under $10,,4
Four Leaves,"Tampines Mall, 4 Tampines Central 5 #B1-22",Under $10,,4
Four Leaves,"Tiong Bahru Plaza, 302 Tiong Bahru Road #B1-05",Under $10,,4
Four Leaves,"Causeway Point, 1 Woodlands Square #B1-34",Under $10,,
Four Leaves,"Northpoint, 930 Yishun Ave 2 #B1-09/10",Under $10,,4
Four Seas,"Albert Centre Market &amp; Food Centre, 270 Queen St #01-106",Under $10,,3.5
Four Seasons Catering,"KA foodlink, 171 Kampong Ampat #05-08",$11 - $20,,3.5
Four Seasons Ching Teng,"210 Market &amp; Food Centre, Blk 210 Lorong 8 Toa Payoh #01-34",Under $10,"Singaporean, Chinese",
Four Seasons Durians,"AMK Hub, 53 Ang Mo Kio Ave 3 #B2-28",Under $10,,4
Four Seasons Durians,"The Clementi Mall, 3155 Commonwealth Ave West #B1-K10",Under $10,,4
Fragrance Garden Chicken Rice,"Lau Pa Sat Festival Market, 18 Raffles Quay",Under $10,"Singaporean, Chinese",
Fragrant Hot Pot - Food Junction,"Bugis Junction, 200 Victoria St #03-30",Under $10,Sichuan,4
Fragrant Hot Pot - Food Republic,"I12 Katong, 112 East Coast Road #04-01",Under $10,Sichuan,
Fragrant Hot Pot - Food Republic,"313@Somerset, 313 Orchard Road #05-01/03",Under $10,Sichuan,3.5
Frankie&#39;s Place Coffee Shop,Blk 555 Ang Mo Kio Ave 10,Under $10,,3.5
Fratini La Trattoria,"Hillcrest Park, 10 Greenwood Avenue",$51 - $80,Italian,
Frenchie Wine Bar,2 Teck Lim Road,$31 - $50,French,
Fresh+,"Immunos, 8A Biomedical Grove #01-17/18",Under $10,,
Freshly Baked,57 Killiney Road #01-01,Under $10,,3.5
Freshly Made Chee Cheong Fun,"51 Old Airport Road Market &amp; Food Centre, 51 Old Airport Road #01-155",Under $10,"Singaporean, Chinese",3.5
Fried Carrot Cake,"Albert Centre Market &amp; Food Centre, 270 Queen St #01-59",Under $10,,4
Fried Carrot Cake - Food Village,"Ngee Ann City, 391 Orchard Road #B2 (Takashimaya Food Hall)",Under $10,Singaporean Chinese,
Fried Hokkien Prawn Mee,"Golden Mile Food Centre, 505 Beach Road #B1-34",Under $10,Singaporean,3.5
Fried Hokkien Prawn Noodle,"Ang Mo Kio Market &amp; Food Centre, Blk 724 Ang Mo Kio Ave 6 #01-38",Under $10,Fujian/Heng Hwa,3.5
Fried Kway Teow,"Beauty World Centre, 144 Upper Bukit Timah Road #04-45",Under $10,,
Fried Prawn Mee,Blk 406 Tampines Street 41 #01-07,Under $10,"Singaporean, Chinese",
Frolick,"Hougang Mall, 90 Hougang Ave 10 #B1-K11",Under $10,,
Frolick,"Cathay Cineleisure Orchard, 8 Grange Road #B1-07",Under $10,,4
Froth,"Ascott Raffles Place, 2, Finlayson Green, Level 2",$21 - $30,,3.5
Fruit Paradise,"VivoCity, 1 Harbourfront Walk #01-59",Under $10,Japanese,4
Fruits Drinks Dessert - Cantine,"Jurong Point, 1 Jurong West Central 2 #B1-42/43/44 (JP1)",Under $10,,3.5
Fruits - Kopitiam,"Manulife Centre, 51 Bras Basah Road #01-03",Under $10,,
Fruitti,"Sunshine Plaza, 91 Bencoolen St #01-49",Under $10,Singaporean,
FRY Bistro,96B Club St,$21 - $30,"Spanish, Fusion",
Fu Le Fried Hokkien Mee,"Sunshine Plaza, 91 Bencoolen St #01-54",Under $10,"Singaporean, Chinese",
Fu Li Seafood,"FoodClique, Blk 347 Bukit Batok Street 34 #01-252",Under $10,"Singaporean, Chinese",
Fu li Seafood - YT,"YT, 76 Telok Blangah Street 31",Under $10,,
Fu Lin Men Dou Lao,16 North Canal Road,$21 - $30,,
Fu Shi Roasted Wanton Mee,"Shunfu Mart, 320 Shunfu Road #02-25",Under $10,Cantonese/Hong Kong,3.5
Fu Shin Hokkien Fried Prawn Mee/Fried Kway Teow/Satay,4A Woodlands Centre Road #02-66,Under $10,"Singaporean, Fujian/Heng Hwa",
Fu Xing Mei Shi,"Dunman Food Centre, 271 Onan Road #02-22",Under $10,,
Fu Zhou Delight,"Upper Boon Keng Market &amp; Food Centre, 17 Upper Boon Keng Street, #51",Under $10,Foochow,
Fu Zhou Poh Hwa Oyster Cake,"Berseh Food Centre, 166 Jalan Besar #02-34",Under $10,Foochow,
Fuel Plus+,16 Morse Road #01-207,$11 - $20,,
Fuji Nihon Ryori - Koufu,"Yew Tee Point, 21 Choa Chu Kang North 6, #B1-17/22, Koufu",Under $10,Japanese,4
FUKU Fine Fugu Kaiseki Restaurant,14 Mohamed Sultan Road #01-01,$31 - $50,Japanese,
Fuku Ramen - China Square Food Centre,"China Square Food Centre, Blk 51 Telok Ayer Street, #01-01",Under $10,Japanese,
Fukuda,"Orchard Plaza, 150 Orchard Road, #01-39",$11 - $20,Japanese,
Fukuichi Japanese Dining Restaurant,"TripleOne Somerset, 111 Somerset Road #02-11/12",$51 - $80,Japanese,3.5
FuLin Fried Yong Tofu - Food Republic,"112 Katong, 112 East Coast Road #04-01",Under $10,,3.5
Full Of Crab,195 East Coast Road,$31 - $50,,4
Fumee,"Millenia Walk, 9 Raffles Boulevard #01-05",,European,
Fun Toast,"Citylink Mall, 1 Raffles Link #B1-04",Under $10,Singaporean,
FX Curry Chicken - Gourmet Paradise,"HDB Hub, Blk 480 Lorong 6 Toa Payoh #B1-01",Under $10,,
G House Restaurant,10 Dempsey Road #01-21,$31 - $50,"Spanish, English, Italian, Thai",
G7 Sinma Claypot Live Frog,163 Geylang Road,$21 - $30,Chinese,3.5
Gaest,"The Clift, 21 McCallum St #01-01",$11 - $20,European,
Gaia Ristorante &amp; Bar,"Goodwood Park Hotel, 22 Scotts Road",$51 - $80,"Italian, European",4
Garibaldi Italian Restaurant &amp; Bar,"36 Purvis Street, #01-02",$31 - $50,Italian,4
Garrett Popcorn,"Wheelock Place, 501 Orchard Road",Under $10,American,3.5
Garuda Padang Cuisine,"Orchard Central, 181 Orchard Road #07-07/08",$21 - $30,Malay,4
Gastronomia,"The Grandstand, 200 Turf Club Road #02-K30/31/32",Under $10,"Italian, European",
Gastronomia,"Cluny Court, 501 Bukit Timah Road #01-01",Under $10,Italian,
Gastronomia,80 Club St,Under $10,Italian,4
Gastronomia,"Paragon, 290 Orchard Road #B1-K8",Under $10,Italian,4
Gastronomia,"myVillage at Serangoon Garden, 1 Maju Ave #01-09/10",Under $10,"Italian, European",
Gayageum Family Restaurant,"Bukit Timah Shopping Centre, 170 Upper Bukit Timah Road #B2-14",$31 - $50,Korean,
